reference,doi,crossref_status,crossref_title,crossref_journal,crossref_year,crossref_volume,crossref_issue,crossref_pages_or_article,crossref_authors,citation_title_match,crossref_type
1,10.1158/1541-7786.MCR-21-0053,verified,High Response Rate and Durability Driven by HLA Genetic Diversity in Patients with Kidney Cancer Treated with Lenvatinib and Pembrolizumab,Molecular Cancer Research,2021,19,9,1510-1521,"Lee, Chung-Han; DiNatale, Renzo G.; Chowell, Diego; Krishna, Chirag; Makarov, Vladimir; Valero, Cristina; Vuong, Lynda; Lee, Mark; Weiss, Kate; Hoen, Doug; Morris, Luc; Reznik, Ed; Murray, Samuel; Kotecha, Ritesh; Voss, Martin H.; Carlo, Maria I.; Feldman, Darren; Sachdev, Pallavi; Adachi, Yusuke; Minoshima, Yukinori; Matsui, Junji; Funahashi, Yasuhiro; Nomoto, Kenichi; Hakimi, A. Ari; Motzer, Robert J.; Chan, Timothy A.",True,journal-article
2,10.1056/NEJMoa2035716,verified,Lenvatinib plus Pembrolizumab or Everolimus for Advanced Renal Cell Carcinoma,New England Journal of Medicine,2021,384,14,1289-1300,"Motzer, Robert; Alekseev, Boris; Rha, Sun-Young; Porta, Camillo; Eto, Masatoshi; Powles, Thomas; Grünwald, Viktor; Hutson, Thomas E.; Kopyltsov, Evgeny; Méndez-Vidal, María J.; Kozlov, Vadim; Alyasova, Anna; Hong, Sung-Hoo; Kapoor, Anil; Alonso Gordoa, Teresa; Merchan, Jaime R.; Winquist, Eric; Maroto, Pablo; Goh, Jeffrey C.; Kim, Miso; Gurney, Howard; Patel, Vijay; Peer, Avivit; Procopio, Giuseppe; Takagi, Toshio; Melichar, Bohuslav; Rolland, Frederic; De Giorgi, Ugo; Wong, Shirley; Bedke, Jens; Schmidinger, Manuela; Dutcus, Corina E.; Smith, Alan D.; Dutta, Lea; Mody, Kalgi; Perini, Rodolfo F.; Xing, Dongyuan; Choueiri, Toni K.",True,journal-article
3,10.1016/j.annonc.2024.05.537,verified,"Renal cell carcinoma: ESMO Clinical Practice Guideline for diagnosis, treatment and follow-up",Annals of Oncology,2024,35,8,692-706,"Powles, T.; Albiges, L.; Bex, A.; Comperat, E.; Grünwald, V.; Kanesvaran, R.; Kitamura, H.; McKay, R.; Porta, C.; Procopio, G.; Schmidinger, M.; Suarez, C.; Teoh, J.; de Velasco, G.; Young, M.; Gillessen, S.",True,journal-article
4,10.1038/s41591-020-0839-y,verified,Interplay of somatic alterations and immune infiltration modulates response to PD-1 blockade in advanced clear cell renal cell carcinoma,Nature Medicine,2020,26,6,909-918,"Braun, David A.; Hou, Yue; Bakouny, Ziad; Ficial, Miriam; Sant’ Angelo, Miriam; Forman, Juliet; Ross-Macdonald, Petra; Berger, Ashton C.; Jegede, Opeyemi A.; Elagina, Liudmilla; Steinharter, John; Sun, Maxine; Wind-Rotolo, Megan; Pignon, Jean-Christophe; Cherniack, Andrew D.; Lichtenstein, Lee; Neuberg, Donna; Catalano, Paul; Freeman, Gordon J.; Sharpe, Arlene H.; McDermott, David F.; Van Allen, Eliezer M.; Signoretti, Sabina; Wu, Catherine J.; Shukla, Sachet A.; Choueiri, Toni K.",True,journal-article
5,10.1126/science.aan5951,verified,Genomic correlates of response to immune checkpoint therapies in clear cell renal cell carcinoma,Science,2018,359,6377,801-806,"Miao, Diana; Margolis, Claire A.; Gao, Wenhua; Voss, Martin H.; Li, Wei; Martini, Dylan J.; Norton, Craig; Bossé, Dominick; Wankowicz, Stephanie M.; Cullen, Dana; Horak, Christine; Wind-Rotolo, Megan; Tracy, Adam; Giannakis, Marios; Hodi, Frank Stephen; Drake, Charles G.; Ball, Mark W.; Allaf, Mohamad E.; Snyder, Alexandra; Hellmann, Matthew D.; Ho, Thai; Motzer, Robert J.; Signoretti, Sabina; Kaelin, William G.; Choueiri, Toni K.; Van Allen, Eliezer M.",True,journal-article
6,10.1038/s41591-018-0053-3,verified,Clinical activity and molecular correlates of response to atezolizumab alone or in combination with bevacizumab versus sunitinib in renal cell carcinoma,Nature Medicine,2018,24,6,749-757,"McDermott, David F.; Huseni, Mahrukh A.; Atkins, Michael B.; Motzer, Robert J.; Rini, Brian I.; Escudier, Bernard; Fong, Lawrence; Joseph, Richard W.; Pal, Sumanta K.; Reeves, James A.; Sznol, Mario; Hainsworth, John; Rathmell, W. Kimryn; Stadler, Walter M.; Hutson, Thomas; Gore, Martin E.; Ravaud, Alain; Bracarda, Sergio; Suárez, Cristina; Danielli, Riccardo; Gruenwald, Viktor; Choueiri, Toni K.; Nickles, Dorothee; Jhunjhunwala, Suchit; Piault-Louis, Elisabeth; Thobhani, Alpa; Qiu, Jiaheng; Chen, Daniel S.; Hegde, Priti S.; Schiff, Christina; Fine, Gregg D.; Powles, Thomas",True,journal-article
7,10.1158/2159-8290.CD-23-0680,verified,Integrative Analyses of Tumor and Peripheral Biomarkers in the Treatment of Advanced Renal Cell Carcinoma,Cancer Discovery,2024,14,3,406-423,"Choueiri, Toni K.; Donahue, Amber C.; Braun, David A.; Rini, Brian I.; Powles, Thomas; Haanen, John B.A.G.; Larkin, James; Mu, Xinmeng Jasmine; Pu, Jie; Teresi, Rosemary E.; di Pietro, Alessandra; Robbins, Paul B.; Motzer, Robert J.",True,journal-article
8,10.1038/s43018-024-00896-w,verified,Immunogenomic determinants of exceptional response to immune checkpoint inhibition in renal cell carcinoma,Nature Cancer,2025,6,2,372-384,"Jammihal, Tejas; Saliby, Renee Maria; Labaki, Chris; Soulati, Hanna; Gallegos, Juan; Peris, Arnau; McCurry, Dustin; Yu, Chunlei; Shah, Valisha; Poduval, Deepak; El Zarif, Talal; El Ahmar, Nourhan; Laimon, Yasmin Nabil; Eid, Marc; Sheshdeh, Aseman Bagheri; Krajewski, Katherine M.; Büttner, Florian A.; Schwab, Matthias; Heng, Daniel; Casellas, Rafael C.; Rai, Kunal; Zacharias Millward, Niki M.; Msaouel, Pavlos; Karam, Jose; Signoretti, Sabina; Van Allen, Eliezer; Choueiri, Toni K.; Braun, David A.; Shukla, Sachet A.",True,journal-article
9,10.4049/jimmunol.2300308,verified,Effect of HLA Genotype on Anti-PD-1 Antibody Treatment for Advanced Renal Cell Carcinoma in the SNiP-RCC Study,The Journal of Immunology,2024,213,1,23-28,"Tanegashima, Tokiyoshi; Shiota, Masaki; Fujiyama, Nobuhiro; Narita, Shintaro; Habuchi, Tomonori; Fukuchi, Genshiro; Takamatsu, Dai; Oda, Yoshinao; Miyake, Hideaki; Takahashi, Masayuki; Oya, Mototsugu; Tsuchiya, Norihiko; Masumori, Naoya; Matsuyama, Hideyasu; Obara, Wataru; Shinohara, Nobuo; Fujimoto, Kiyohide; Nozawa, Masahiro; Ohba, Kojiro; Ohyama, Chikara; Hashine, Katsuyoshi; Akamatsu, Shusuke; Kamba, Tomomi; Mita, Koji; Gotoh, Momokazu; Tatarano, Shuichi; Fujisawa, Masato; Tomita, Yoshihiko; Mukai, Shoichiro; Ito, Keiichi; Tokunaga, Shoji; Eto, Masatoshi",True,journal-article
10,10.1038/s41588-018-0312-8,verified,Tumor mutational load predicts survival after immunotherapy across multiple cancer types,Nature Genetics,2019,51,2,202-206,"Samstein, Robert M.; Lee, Chung-Han; Shoushtari, Alexander N.; Hellmann, Matthew D.; Shen, Ronglai; Janjigian, Yelena Y.; Barron, David A.; Zehir, Ahmet; Jordan, Emmet J.; Omuro, Antonio; Kaley, Thomas J.; Kendall, Sviatoslav M.; Motzer, Robert J.; Hakimi, A. Ari; Voss, Martin H.; Russo, Paul; Rosenberg, Jonathan; Iyer, Gopa; Bochner, Bernard H.; Bajorin, Dean F.; Al-Ahmadie, Hikmat A.; Chaft, Jamie E.; Rudin, Charles M.; Riely, Gregory J.; Baxi, Shrujal; Ho, Alan L.; Wong, Richard J.; Pfister, David G.; Wolchok, Jedd D.; Barker, Christopher A.; Gutin, Philip H.; Brennan, Cameron W.; Tabar, Viviane; Mellinghoff, Ingo K.; DeAngelis, Lisa M.; Ariyan, Charlotte E.; Lee, Nancy; Tap, William D.; Gounder, Mrinal M.; D’Angelo, Sandra P.; Saltz, Leonard; Stadler, Zsofia K.; Scher, Howard I.; Baselga, Jose; Razavi, Pedram; Klebanoff, Christopher A.; Yaeger, Rona; Segal, Neil H.; Ku, Geoffrey Y.; DeMatteo, Ronald P.; Ladanyi, Marc; Rizvi, Naiyer A.; Berger, Michael F.; Riaz, Nadeem; Solit, David B.; Chan, Timothy A.; Morris, Luc G. T.",True,journal-article
