analysis,focal_variable,n,events,hazard_ratio,lower_95ci,upper_95ci,wald_p,ph_test_p,aic_partial,fdr_bh
continuous_interaction:HLA_A_homozygous,TMB_x_HLA_A_homozygous,138,51,0.6947495909847539,0.2802712680584903,1.7221779368149577,0.4316735091268864,0.5115761437403554,440.4113836876101,0.7720862944151236
binary_interaction:HLA_A_homozygous,TMBhigh_x_HLA_A_homozygous,138,51,1.472851544614256,0.1412531419020348,15.357475545408386,0.7461600663717917,0.1097291172018479,438.3016897621927,0.8290667404131018
continuous_interaction:HLA_any_homozygous,TMB_x_HLA_any_homozygous,138,51,1.4616130981291415,0.8485273273833606,2.517671240136137,0.1713257013353249,0.0760184940946586,438.92411923746585,0.4284365915405964
binary_interaction:HLA_any_homozygous,TMBhigh_x_HLA_any_homozygous,138,51,5.435529813824631,1.1863888745936162,24.903288449242005,0.029253502310541,0.5801611806420996,432.2462304744942,0.2925350231054108
continuous_interaction:HLA_A_LOH,TMB_x_HLA_A_LOH,138,51,1.7761743433358992,0.948396861904504,3.3264505869299,0.0727394677820391,0.9194371297677454,436.9524395423253,0.3636973389101958
binary_interaction:HLA_A_LOH,TMBhigh_x_HLA_A_LOH,138,51,0.9444934955424792,0.204991028500924,4.351741486667208,0.9415947338860744,0.9656149258549424,437.2388065034722,0.9415947338860744
continuous_interaction:HLA_any_LOH,TMB_x_HLA_any_LOH,138,51,1.4893118182254328,0.8416064661055336,2.6354950695302897,0.1713746366162385,0.7698981313142784,436.49739866341054,0.4284365915405964
binary_interaction:HLA_any_LOH,TMBhigh_x_HLA_any_LOH,138,51,0.7074242269038873,0.1817358110905224,2.7537172437703514,0.6176690355320988,0.9008833783171416,434.8805323507207,0.7720862944151236
continuous_interaction:HED_A_zero,TMB_x_HED_A_zero,138,51,0.8196335252190216,0.3892516884403523,1.7258733503628845,0.600609142978596,0.3565314787839913,438.6754986789679,0.7720862944151236
binary_interaction:HED_A_zero,TMBhigh_x_HED_A_zero,138,51,1.8237082604427923,0.194849594618793,17.069123626939763,0.5984715476945504,0.0434346104308812,436.5605213532828,0.7720862944151236
