script,environment_variable,original_role
"audit_discovery_official_pipeline.py","RCC_INPUT_AUDIT_DISCOVERY_OFFICIAL_PIPELINE_01","External input required; retrieve or reconstruct under the source-specific route in DATA_AVAILABILITY.md"
"audit_discovery_official_pipeline.py","RCC_INPUT_AUDIT_DISCOVERY_OFFICIAL_PIPELINE_02","External input required; retrieve or reconstruct under the source-specific route in DATA_AVAILABILITY.md"
"audit_discovery_official_pipeline.py","RCC_INPUT_AUDIT_DISCOVERY_OFFICIAL_PIPELINE_03","External input required; retrieve or reconstruct under the source-specific route in DATA_AVAILABILITY.md"
"audit_hla_version_provenance.py","RCC_INPUT_AUDIT_HLA_VERSION_PROVENANCE_01","External input required; retrieve or reconstruct under the source-specific route in DATA_AVAILABILITY.md"
"audit_hla_version_provenance.py","RCC_INPUT_AUDIT_HLA_VERSION_PROVENANCE_02","External input required; retrieve or reconstruct under the source-specific route in DATA_AVAILABILITY.md"
"audit_hla_version_provenance.py","RCC_INPUT_AUDIT_HLA_VERSION_PROVENANCE_03","External input required; retrieve or reconstruct under the source-specific route in DATA_AVAILABILITY.md"
"audit_len07_official_hla_reprediction.py","RCC_INPUT_AUDIT_LEN07_OFFICIAL_HLA_REPREDICTION_01","External input required; retrieve or reconstruct under the source-specific route in DATA_AVAILABILITY.md"
"audit_len07_official_hla_reprediction.py","RCC_INPUT_AUDIT_LEN07_OFFICIAL_HLA_REPREDICTION_02","External input required; retrieve or reconstruct under the source-specific route in DATA_AVAILABILITY.md"
"audit_miao_robustness.py","RCC_INPUT_AUDIT_MIAO_ROBUSTNESS_01","External input required; retrieve or reconstruct under the source-specific route in DATA_AVAILABILITY.md"
"audit_msk138_reduced_validation.py","RCC_INPUT_AUDIT_MSK138_REDUCED_VALIDATION_01","External input required; retrieve or reconstruct under the source-specific route in DATA_AVAILABILITY.md"
"audit_unbiased_a0201_paired_universe.py","RCC_INPUT_AUDIT_UNBIASED_A0201_PAIRED_UNIVERSE_01","External input required; retrieve or reconstruct under the source-specific route in DATA_AVAILABILITY.md"
"audit_unbiased_a0201_paired_universe.py","RCC_INPUT_AUDIT_UNBIASED_A0201_PAIRED_UNIVERSE_02","External input required; retrieve or reconstruct under the source-specific route in DATA_AVAILABILITY.md"
"audit_signature_stability.R","RCC_AUDIT_OUT","audit output/input directory"
"build_v18_figures.py","RCC_INPUT_BUILD_V18_FIGURES_01","External input required; retrieve or reconstruct under the source-specific route in DATA_AVAILABILITY.md"
"build_v18_figures.py","RCC_INPUT_BUILD_V18_FIGURES_02","External input required; retrieve or reconstruct under the source-specific route in DATA_AVAILABILITY.md"
"build_v18_figures.py","RCC_INPUT_BUILD_V18_FIGURES_03","External input required; retrieve or reconstruct under the source-specific route in DATA_AVAILABILITY.md"
"build_v18_submission_tables.py","RCC_INPUT_BUILD_V18_SUBMISSION_TABLES_01","External input required; retrieve or reconstruct under the source-specific route in DATA_AVAILABILITY.md"
